word,len,count,count_wiki,min_char_freq,nankuro_score
各界,2,2,2278,407155,4.108478903740093
求婚,2,2,3713,154795,4.108244965759694
季語,2,2,2794,175809,4.108191787980296
入母屋,3,3,2105,381822,4.108171900684103
鼓動,2,2,3271,32920,4.108031273232675
巻物,2,2,2269,158066,4.107945457806518
暴発,2,2,2145,166406,4.107943258121692
美徳,2,2,2172,469705,4.107710523602309
連峰,2,2,3084,49901,4.107593550564381
試製,2,2,2099,761428,4.10757929880417
米中,2,2,1631,520405,4.107483536146459
元請,2,2,2938,159943,4.107462595243856
装画,2,2,1620,818181,4.107416594522328
対米,2,2,2060,520405,4.107386892647633
遠足,2,2,3105,264938,4.107337473846771
砂利,2,2,2881,131035,4.10720459901561
政局,2,2,2292,296448,4.1071810219524
無邪気,3,3,3187,46379,4.107157019304485
園児,2,2,2507,395696,4.107108158668559
渡海,2,2,2180,324486,4.107087353130993
不仲,2,2,2864,174023,4.106781436745641
勉学,2,2,2523,39662,4.106754423567924
電卓,2,2,3145,77702,4.1067529636119
草創,2,2,3087,244091,4.106744735781792
夜景,2,2,3388,262417,4.1065645837143565
入店,2,2,1828,772580,4.106557293269853
返却,2,2,5375,82119,4.106482648423972
見附,2,2,3337,92490,4.106471821786867
魔剣,2,2,3729,114221,4.106375196445361
挙式,2,2,2033,455714,4.106259508122699
玉座,2,2,2832,401028,4.106210907934384
後天,2,2,1648,1282590,4.106207454191848
継室,2,2,2823,394998,4.106077246926109
給電,2,2,2384,279946,4.106060039533631
時評,2,2,1778,449962,4.106015535923205
青学,2,2,1400,611448,4.1059963106563835
夜会,2,2,1783,305097,4.105901146039141
純度,2,2,2524,169146,4.105889499870789
一堂,2,2,1945,222301,4.105878579608372
鉄球,2,2,1852,1005539,4.105809112675622
軍神,2,2,1624,1265877,4.105378583327459
鉛筆,2,2,5720,17118,4.10535570830522
濫用,2,2,3922,13138,4.105285607555988
長徳,2,2,1824,469705,4.105137339222214
速記,2,2,1771,538328,4.105120862007132
祝祭,2,2,5554,60673,4.105106711074075
銃殺,2,2,3645,112943,4.105091252646351
英領,2,2,2344,547579,4.104840332083147
高商,2,2,1717,598967,4.104795712715862
同紙,2,2,2244,196355,4.104785309589262
誌面,2,2,2517,248977,4.104699081751972
極右,2,2,3356,264054,4.104649349047111
連休,2,2,2142,260912,4.104588173188805
謀略,2,2,3998,91084,4.104555289148368
表出,2,2,1095,2526369,4.104479005363484
単品,2,2,2000,505311,4.104339751646698
内記,2,2,1298,2262493,4.104253706705032
正方,2,2,1467,1672459,4.104215580186438
導水,2,2,2025,523859,4.1041613026624315
代弁,2,2,2113,197155,4.104153519234037
復学,2,2,1352,699162,4.104130816659586
閉場,2,2,2012,200143,4.104120374882742
滝口,2,2,3244,74453,4.104025869091156
酵母,2,2,4709,43395,4.104009731120193
三毛,2,2,2655,165459,4.103937087446097
主務,2,2,1556,1231186,4.103837337345661
諸家,2,2,2430,244748,4.1035982365555865
金平,2,2,1495,1319686,4.103579894038351
増便,2,2,2997,360820,4.103527828147281
神門,2,2,1733,907588,4.103440178194193
述語,2,2,2323,386652,4.103431679619587
千草,2,2,2849,244091,4.103363559843824
放生,2,2,1279,2323705,4.103316690901563
移封,2,2,3322,96217,4.10330536533456
城市,2,2,1912,765288,4.103286018126255
検体,2,2,1895,520384,4.103197566080566
概況,2,2,2962,277239,4.103161210925004
犬神,2,2,2968,73428,4.1031288944393225
格付,2,2,2331,498998,4.103068862615867
楽長,2,2,1416,1478354,4.102905214858428
艦砲,2,2,3519,163971,4.102714799238616
北陸道,3,3,1556,724614,4.102695735023853
叙位,2,2,3379,63290,4.102614280698586
財布,2,2,3375,273790,4.102529648688439
説法,2,2,1758,974959,4.102474566508199
用務,2,2,1468,1231186,4.102437210552338
多忙,2,2,5711,8453,4.102383791185602
区立,2,2,1583,1063901,4.102366860730284
腐食,2,2,4954,29960,4.1023265548188395
火花,2,2,2751,423876,4.102158115156457
国記,2,2,1073,2998666,4.102085924718224
蹴球,2,2,5057,11466,4.10205680603831
水圧,2,2,2375,240834,4.101981707761586
複写,2,2,2977,349698,4.101960113531796
親類,2,2,2448,566985,4.101932010920253
討議,2,2,2521,128289,4.1019240500887495
市子,2,2,1327,1434648,4.101796496111891
黒板,2,2,3130,266608,4.101750344826746
