word,len,count,count_wiki,min_char_freq
太公望,3,3,478,259692
山百合,3,3,149,287401
集大成,3,3,3406,1457185
不可欠,3,3,9104,113313
影武者,3,3,2956,672064
小中学,3,3,3079,2182142
入母屋,3,3,2105,381822
太刀筋,3,3,160,74277
紙芝居,3,3,3590,97806
不知火,3,3,4337,423876
岩清水,3,3,635,469715
野放図,3,3,164,586569
唐辛子,3,3,2854,26482
大内山,3,3,652,2262493
神無月,3,3,1130,642923
八百長,3,3,3392,287401
教職員,3,3,9775,644484
輸出入,3,3,2571,279953
日和見,3,3,1140,927786
腕相撲,3,3,641,65567
過不足,3,3,2469,459373
善知鳥,3,3,235,233426
奇天烈,3,3,511,36387
重軽傷,3,3,1801,150568
黒百合,3,3,389,287401
仙人掌,3,3,166,30623
頓珍漢,3,3,254,11548
三十路,3,3,707,516245
泥仕合,3,3,175,27861
朴念仁,3,3,166,6309
紅一点,3,3,1539,91486
逆茂木,3,3,167,96540
中山道,3,3,4713,3414914
御手洗,3,3,2506,68692
大原女,3,3,116,2174333
刀鍛冶,3,3,1034,16009
小為替,3,3,129,131628
御息所,3,3,517,237518
乳幼児,3,3,3015,120758
与太郎,3,3,910,247990
黄金虫,3,3,199,92982
句読点,3,3,1401,74430
八千代,3,3,10115,473711
沖仲仕,3,3,166,174023
大叔父,3,3,1534,36077
不可侵,3,3,1874,196156
八重歯,3,3,459,77197
寿老人,3,3,405,126902
遺家族,3,3,113,370486
五十路,3,3,126,312971
官公庁,3,3,3205,119580
小百合,3,3,7736,287401
南南東,3,3,1510,1117226
荒木田,3,3,538,140466
秋津島,3,3,118,395971
西北西,3,3,1384,1509659
贈収賄,3,3,721,7916
仮名遣,3,3,968,107373
大叔母,3,3,463,36077
一辺倒,3,3,954,109081
本因坊,3,3,4992,30387
十二分,3,3,638,516245
四方山話,4,4,104,325660
用部屋,3,3,205,933702
出入国,3,3,2831,1842643
離着陸,3,3,3915,460065
下克上,3,3,951,74514
数奇屋,3,3,131,129670
村八分,3,3,468,473711
浜木綿,3,3,244,22547
中西部,3,3,3738,1509659
内風呂,3,3,194,66749
竹麦魚,3,3,3548,36182
戦病死,3,3,479,396243
中高層,3,3,565,112144
片男波,3,3,516,178210
原水爆,3,3,687,257406
投融資,3,3,486,154179
与野党,3,3,1625,247990
冷暖房,3,3,1494,26448
口言葉,3,3,842,712844
一人一人,4,4,1983,4745142
一人息子,4,4,2979,237518
一人旅,3,3,149,301569
一人芝居,4,4,596,97806
一人親,3,3,183,598909
一太郎,3,3,1960,1176863
一本松,3,3,1807,1197475
七五三,3,3,161,96560
上下巻,3,3,2372,158066
下毛野,3,3,442,165459
不真面目,4,4,729,924917
中南米,3,3,4662,520405
中屋敷,3,3,1141,184286
