char,freq
爆,152
振,151
甲,151
縮,151
顔,151
司,150
堂,150
増,150
札,150
益,150
辺,150
暴,149
登,149
丁,148
以,148
抜,148
町,148
省,148
純,148
訳,148
供,147
混,147
免,146
刑,146
将,146
程,146
諸,146
他,145
早,145
脂,145
宅,144
歴,144
猿,144
完,143
床,143
徒,143
従,143
秘,143
詩,143
降,143
壁,142
易,142
燈,142
編,142
善,141
審,141
企,140
健,140
友,140
吹,140
左,140
廃,140
章,140
評,140
個,139
村,139
烏,139
臨,139
庫,137
弱,137
競,137
緑,137
越,137
鬼,137
魔,137
帳,136
符,136
震,136
髪,136
今,135
例,135
夏,135
沈,135
勤,134
称,134
脚,134
針,134
閉,134
刻,133
君,133
滅,133
債,132
儀,132
泥,132
項,132
因,131
庭,131
災,131
興,131
若,131
賞,131
索,130
舎,130
闘,129
宣,128
志,128
揚,128
棒,128
求,128
致,128
融,128
鹿,128
折,127
替,127
父,127
練,127
般,127
里,127
麦,127
井,126
右,126
庁,126
律,126
押,126
則,124
創,124
延,124
待,124
欠,124
痛,124
票,124
臣,124
訴,124
阿,124
儘,123
副,123
損,123
操,123
砲,123
維,123
包,122
掛,122
提,122
柄,122
栄,122
腸,122
貴,122
危,121
姫,121
戒,121
敵,121
施,121
獣,121
継,121
何,120
博,120
寄,120
幕,120
必,120
故,120
模,120
迷,120
映,119
蘭,119
軟,119
雀,119
鶏,119
冬,118
永,118
艦,118
介,117
僧,117
柱,117
橋,117
渡,117
紫,117
課,117
請,117
灰,116
考,116
講,116
販,116
寺,115
帝,115
斑,115
泉,115
潮,115
責,115
刺,114
尊,114
析,114
洗,114
簡,114
胸,114
始,113
排,113
穴,113
閑,113
鮮,113
卒,112
援,112
氏,112
綿,112
惑,111
担,111
攻,111
久,110
亡,110
剣,110
羊,110
願,110
快,109
敷,109
狂,109
申,109
盛,109
矢,109
銭,109
呼,108
嚢,108
宙,108
童,108
倒,107
息,107
探,107
診,107
避,107
壊,106
旗,106
盟,106
籍,106
紋,106
互,105
厚,105
奉,105
寝,105
干,105
摩,105
至,105
託,105
陀,105
伊,104
我,104
梅,104
棄,104
荒,104
郵,104
答,103
綱,103
衝,103
誌,103
豚,103
買,103
雄,103
飲,103
均,102
就,102
更,102
港,102
街,102
救,101
枯,101
津,101
猫,101
硬,101
肥,101
妖,100
孔,100
斯,100
閣,100
妻,99
展,99
悲,99
桜,99
欲,99
汁,99
粗,99
緊,99
虚,99
跡,99
陣,99
占,98
去,98
塵,98
奏,98
智,98
束,98
沢,98
訓,98
齢,98
与,97
並,97
序,97
激,97
舟,97
隠,97
停,96
拡,96
旋,96
祖,96
虎,96
餅,96
丹,95
岸,95
承,95
溶,95
漁,95
弟,94
往,94
普,94
耐,94
裂,94
雷,94
偶,93
吉,93
呂,93
墨,93
富,93
寿,93
拝,93
江,93
盗,93
粒,93
而,93
胡,93
腐,93
蛇,93
賃,93
返,93
坊,92
夢,92
欧,92
炉,92
胎,92
腫,92
軸,92
透,92
借,91
偽,91
圏,91
垂,91
尿,91
採,91
癌,91
舌,91
隔,91
兄,90
即,90
各,90
否,90
擬,90
敗,90
械,90
熊,90
範,90
距,90
鳴,90
翼,89
銃,89
鎖,89
仲,88
似,88
凡,88
夕,88
患,88
緩,88
縄,88
腕,88
臓,88
郎,88
駅,88
龍,88
威,87
封,87
愚,87
憲,87
浄,87
窓,87
臭,87
之,86
唱,86
寸,86
幅,86
怪,86
憶,86
燃,86
猴,86
珍,86
縦,86
肺,86
薩,86
踏,86
述,86
麗,86
坐,85
熟,85
築,85
腰,85
菊,85
菓,85
誤,85
剛,84
契,84
恋,84
慈,84
楊,84
甘,84
甚,84
疑,84
藍,84
藻,84
蟹,84
貸,84
釈,84
捨,83
歳,83
籠,83
衡,83
込,83
銅,83
頸,83
了,82
授,82
湿,82
紀,82
著,82
蜂,82
豪,82
途,82
邦,82
鍋,82
哀,81
尺,81
扇,81
浪,81
笑,81
糞,81
蓋,81
谷,81
亀,80
仁,80
夷,80
幽,80
捕,80
晶,80
添,80
繊,80
貧,80
鉛,80
駄,80
魂,80
伏,79
功,79
況,79
蝶,79
覧,79
辛,79
鼓,79
倍,78
却,78
岐,78
枝,78
没,78
漫,78
疫,78
眠,78
蝦,78
邪,78
鑑,78
頂,78
鯨,78
勇,77
恐,77
懐,77
献,77
蒸,77
触,77
賊,77
飾,77
厳,76
帽,76
於,76
獄,76
盲,76
磨,76
附,76
仙,75
幼,75
柳,75
桃,75
池,75
沙,75
珠,75
畜,75
疾,75
看,75
肌,75
鎮,75
阪,75
佐,74
刷,74
季,74
弓,74
潜,74
脊,74
腺,74
誘,74
貿,74
遅,74
哲,73
堅,73
塔,73
斜,73
殻,73
芽,73
蛮,73
討,73
迦,73
週,73
随,73
勘,72
奈,72
奴,72
尽,72
敬,72
暦,72
筒,72
箇,72
葬,72
豊,72
釣,72
鋼,72
響,72
鮫,72
依,71
幹,71
忠,71
曹,71
栗,71
渉,71
滑,71
瓜,71
芋,71
郷,71
執,70
央,70
婆,70
懸,70
択,70
湖,70
績,70
茸,70
該,70
載,70
霧,70
凍,69
抵,69
掻,69
枕,69
殖,69
瓦,69
謀,69
趣,69
還,69
酔,69
岡,68
康,68
恩,68
恵,68
既,68
昇,68
浜,68
湾,68
蜜,68
貫,68
違,68
酢,68
倉,67
屈,67
戯,67
晩,67
浴,67
濃,67
猛,67
蛛,67
賀,67
顧,67
吏,66
塗,66
妄,66
姿,66
拠,66
拳,66
浅,66
牌,66
蜘,66
須,66
駐,66
髄,66
鬱,66
且,65
併,65
卑,65
孤,65
徴,65
昼,65
棚,65
胆,65
謝,65
韓,65
鯛,65
充,64
刊,64
奥,64
彩,64
忍,64
斗,64
滞,64
痴,64
粘,64
遣,64
黙,64
償,63
噴,63
姉,63
媒,63
括,63
汚,63
漬,63
笛,63
胃,63
雇,63
侵,62
妹,62
掃,62
翅,62
肝,62
蓮,62
軌,62
乎,61
倫,61
兎,61
吐,61
噌,61
希,61
忌,61
慶,61
曳,61
杯,61
欄,61
殊,61
猟,61
琴,61
絡,61
苔,61
闇,61
伯,60
俳,60
囲,60
壮,60
巡,60
彦,60
慢,60
曾,60
架,60
狐,60
祝,60
貯,60
靴,60
喜,59
妙,59
娘,59
尻,59
毎,59
茎,59
銘,59
魯,59
卓,58
塊,58
奮,58
巾,58
恒,58
慮,58
沖,58
牧,58
玄,58
稲,58
腔,58
芝,58
覆,58
賤,58
騒,58
嫌,57
幻,57
煮,57
砕,57
締,57
縞,57
譲,57
迫,57
儒,56
含,56
廻,56
昧,56
森,56
瓶,56
硫,56
耕,56
藤,56
虐,56
螺,56
飼,56
騎,56
孫,55
払,55
抽,55
梨,55
燥,55
硝,55
稿,55
簿,55
蒲,55
